0,2.986
1,3.498
2,3.968
1,4.437
0,4.864
1,5.248
2,5.632
1,5.973
2,6.357
1,6.741
2,7.21
0,7.637
1,8.533
2,8.704
1,8.874
2,9.002
0,9.13
1,10.154
2,10.24
1,10.41
2,10.496
1,10.624
2,10.709
0,10.922
1,11.989
2,12.373
1,12.757
0,13.141
1,13.61
2,13.909
1,14.122
0,14.549
1,14.848
2,15.146
1,15.53
0,15.872
0,16.981
1,17.792
0,18.474
1,18.688
0,19.029
1,19.2
1,19.882
2,20.309
1,20.437
2,20.65
1,20.821
0,20.906
1,21.717
2,22.016
1,22.229
0,22.741
1,23.04
2,23.253
2,23.637
1,23.936
0,24.149
0,25.088
1,25.258
2,25.429
1,25.6
0,25.685
0,26.666
1,26.794
2,26.922
0,27.05
1,27.136
2,27.178
0,27.306
0,27.52
1,28.416
2,28.885
1,29.312
0,29.781
1,30.208
2,30.762
1,31.189
0,31.701
1,32.128
2,32.682
2,33.322
1,33.962
0,34.602
2,35.2
1,35.797
0,36.352
1,36.864
2,37.29
1,37.802
0,38.357
1,38.912
1,39.466
0,40.021
1,40.533
1,41.002
2,41.514
1,42.069
2,42.538
0,42.965
1,43.434
0,43.946
1,44.373
2,44.8
1,45.269
0,45.738
1,46.165
2,46.762
1,47.189
0,47.829
1,48.384
2,48.896
1,49.408
0,49.962
1,50.517
2,51.029
1,51.584
